node,r,s,a,x,y,scenario_d,scenario_m,scenario_c,scenario_h,scenario_r,scenario_s,scenario_a,scenario_x,scenario_y,selection,true_x,true_y,true_angle,true_selection
352,-1.97965392723022,8.75133810803829,0.695241871083849,118.466549697502,-26.7359679172893,0,0,0,0,-2.66875087977215,9.18040923341772,1.53105987534177,118.321943341772,-26.5278947518987,0,0.97482856215364,-0.222955767831799,6.05833979276495,0
353,-2.42320488741763,9.8922692351098,0.642791232920834,116.974305877745,-26.2570934904806,1,0,0,0,-2.6717605895312,9.81490449207889,2.54163617358552,117.029472259942,-26.027985257032,0,0.971328465670597,-0.237741480978822,6.04314530592062,0
354,-2.47182282583553,9.23384642476542,0.756247396706718,116.456747685291,-25.7269759916334,1,1,3,1,-2.57786131247595,8.85665657697242,1.31073547960231,116.573058659397,-26.1911824727389,1,0.47420773251332,0.880412986288012,1.07673239503428,1
355,-3.67509897718895,7.00213985132472,0.967922169708724,115.639132693152,-25.7109463561869,1,0,3,1,-2.70169224791119,6.29865536412078,1.75206090701599,115.217320781528,-26.4021642451155,1,0.592790366935637,0.805356803453173,0.936277127293317,1
356,-3.61627291695659,7.11935415886467,0.377346240071364,115.529605182749,-26.5660614345476,0,0,0,1,-2.28678746425935,7.04680463062344,1.41313670995012,115.48781074813,-26.5503793266833,1,0.555072046418858,0.831802274151965,0.982346748323613,1
357,-3.8575554066248,6.52465936999794,-0.0550698602663874,115.600555314137,-26.4148159058005,1,0,1,4,-4.57767773400414,6.9285212521456,0.667950848783664,115.87990168689,-26.5305047706422,0,-0.967298068586695,0.253642359452142,2.88514874819628,0
358,-3.26665270447925,9.1540689308615,0.177619062070133,115.209742854206,-27.0189606788851,1,0,3,5,-3.37458557769748,8.95023661450286,0.102909827838276,115.467106229753,-26.5748744031896,1,-0.476223352346426,-0.879324353512361,4.21603423066387,1
359,-0.719778454889912,7.96590628578452,0.725148414509214,115.52642113766,-24.6064006413298,0,1,0,1,-0.244451471791205,7.59834876081516,0.755800653947086,115.328046978906,-24.6562864783697,1,0.533035786882137,0.846092695809946,1.00861179244436,1
360,0.478688079660496,6.51994646580725,0.657689477685179,115.223682302876,-23.8692580875106,1,1,2,6,1.25416218369138,6.34775786012103,0.270988937488654,115.217566475038,-23.5628327685325,2,-0.056654805142846,-0.998393826630667,4.65570382326098,2
361,-3.53075857377355,15.1308165517358,0.750779997390953,115.552851714157,-26.6816765421859,1,0,1,7,-2.76715033704857,15.9346332689913,1.26061993930262,115.113847914072,-26.0119039321295,3,0.356260375014717,-0.934386721435174,5.07665158079567,2
362,-1.9621500228867,15.9453330947995,0.139591689051944,114.264869642946,-25.7687568557397,0,0,0,6,-2.60742288628542,15.7266580847983,2.06778300938987,114.310429431231,-25.733734237849,2,0.117247230268707,-0.993102757520246,4.8299065174082,2
363,-5.37084270970534,18.9000448036955,0.422861671425381,115.222396441686,-27.614703051483,0,1,3,4,-4.29024098660268,19.2382572365527,0.898195292821436,115.538701639672,-27.9154204339132,0,-0.820361605348921,0.571845115804394,2.53283940744928,3
364,-1.84191869350843,11.2801161823423,0.528069690100744,116.374448355842,-27.1676873132371,0,0,1,5,-3.11469601323731,10.7494765915638,1.20089028590535,116.546369890261,-27.000978340192,1,-0.38615823934958,-0.922432552646768,4.31592585152426,1
365,-2.43889084088183,5.85664553961978,2.28296064207983,121.711998680563,-27.7463565174638,1,0,1,7,-6.18067429184139,5.0698579691472,5.0451508175774,120.827303737099,-26.6984420738729,3,0.733629201621969,-0.679549994133995,5.53603624380097,3
366,-2.51101730953028,5.89097594063033,0.918822622185749,121.097297550569,-26.9320575041805,1,0,3,3,-0.787594948333658,5.079801119275,2.17745314940557,121.891074059638,-28.253079748587,3,-0.627532595367654,0.778590291328588,2.24917640861535,3
367,-3.44525970082158,6.97921645137305,1.24845641504114,121.085771030717,-27.6939850310276,1,1,2,0,-2.88200459587621,7.64558389110736,2.71978422682384,121.17267098756,-27.8873812640147,0,0.979925565011572,-0.199363705414881,6.08247675883841,0
368,-3.6365209718131,8.01618799782779,0.51979745633037,119.730633664257,-27.8551689020617,1,1,3,7,-3.47651979204141,8.52355814590747,0.470785924788094,119.79069317373,-27.8451136622452,3,0.573788797273109,-0.81900330654026,5.32351348693691,3
369,-3.87331443933739,9.14167974249587,0.526392910367148,119.04437924956,-27.6296643658646,1,0,3,4,-2.80459205081081,9.99678870788288,1.33887923615315,119.526375878378,-27.7520829009009,0,-0.967840373271085,0.251565124503553,2.88729560663889,0
370,-4.12541474266726,10.1749285534858,0.597635287070505,118.59163374759,-28.0383154398031,0,0,0,5,-2.15348918270723,9.16610623967712,2.36675271331885,118.072766997827,-27.9833981092828,1,-0.459110689358238,-0.88837907163384,4.23539508972516,1
